Tematica,fecha_mensual,Cantidad
HOMICIDIOS,01/01/2026,1203
HOMICIDIOS,02/01/2026,1083
HOMICIDIOS,03/01/2026,1170
HOMICIDIOS,04/01/2026,1156
HOMICIDIOS,05/01/2026,1188
,,
