Tematica,fecha_mensual,Cantidad
HOMICIDIOS,01/07/2015,1058.00
HOMICIDIOS,01/08/2015,996.00
HOMICIDIOS,01/09/2015,940.00
HOMICIDIOS,01/10/2015,929.00
HOMICIDIOS,01/11/2015,1095.00
HOMICIDIOS,01/12/2015,1221.00
HOMICIDIOS,01/01/2016,1074.00
HOMICIDIOS,01/02/2016,929.00
HOMICIDIOS,01/03/2016,946.00
HOMICIDIOS,01/04/2016,956.00
HOMICIDIOS,01/05/2016,1014.00
HOMICIDIOS,01/06/2016,1028.00
HOMICIDIOS,01/07/2016,1055.00
HOMICIDIOS,01/08/2016,978.00
HOMICIDIOS,01/09/2016,937.00
HOMICIDIOS,01/10/2016,996.00
HOMICIDIOS,01/11/2016,966.00
HOMICIDIOS,01/12/2016,1166.00
HOMICIDIOS,01/01/2017,1043.00
HOMICIDIOS,01/02/2017,883.00
HOMICIDIOS,01/03/2017,904.00
HOMICIDIOS,01/04/2017,1000.00
HOMICIDIOS,01/05/2017,1037.00
HOMICIDIOS,01/06/2017,894.00
HOMICIDIOS,01/07/2017,1072.00
HOMICIDIOS,01/08/2017,946.00
HOMICIDIOS,01/09/2017,907.00
HOMICIDIOS,01/10/2017,1012.00
HOMICIDIOS,01/11/2017,1037.00
HOMICIDIOS,01/12/2017,1222.00
HOMICIDIOS,01/01/2018,1104.00
HOMICIDIOS,01/02/2018,938.00
HOMICIDIOS,01/03/2018,1101.00
HOMICIDIOS,01/04/2018,1114.00
HOMICIDIOS,01/05/2018,1003.00
HOMICIDIOS,01/06/2018,978.00
HOMICIDIOS,01/07/2018,1054.00
HOMICIDIOS,01/08/2018,1071.00
HOMICIDIOS,01/09/2018,1013.00
HOMICIDIOS,01/10/2018,1006.00
HOMICIDIOS,01/11/2018,982.00
HOMICIDIOS,01/12/2018,1209.00
HOMICIDIOS,01/01/2019,1037.00
HOMICIDIOS,01/02/2019,904.00
HOMICIDIOS,01/03/2019,1126.00
HOMICIDIOS,01/04/2019,1000.00
HOMICIDIOS,01/05/2019,1065.00
HOMICIDIOS,01/06/2019,1044.00
HOMICIDIOS,01/07/2019,988.00
HOMICIDIOS,01/08/2019,1085.00
HOMICIDIOS,01/09/2019,1042.00
HOMICIDIOS,01/10/2019,953.00
HOMICIDIOS,01/11/2019,1038.00
HOMICIDIOS,01/12/2019,1265.00
HOMICIDIOS,01/01/2020,1038.00
HOMICIDIOS,01/02/2020,955.00
HOMICIDIOS,01/03/2020,836.00
HOMICIDIOS,01/04/2020,655.00
HOMICIDIOS,01/05/2020,887.00
HOMICIDIOS,01/06/2020,994.00
HOMICIDIOS,01/07/2020,1004.00
HOMICIDIOS,01/08/2020,1139.00
HOMICIDIOS,01/09/2020,1121.00
HOMICIDIOS,01/10/2020,1110.00
HOMICIDIOS,01/11/2020,1061.00
HOMICIDIOS,01/12/2020,1209.00
HOMICIDIOS,01/01/2021,1089.00
HOMICIDIOS,01/02/2021,988.00
HOMICIDIOS,01/03/2021,966.00
HOMICIDIOS,01/04/2021,1010.00
HOMICIDIOS,01/05/2021,1367.00
HOMICIDIOS,01/06/2021,1288.00
HOMICIDIOS,01/07/2021,1213.00
HOMICIDIOS,01/08/2021,1229.00
HOMICIDIOS,01/09/2021,1128.00
HOMICIDIOS,01/10/2021,1218.00
HOMICIDIOS,01/11/2021,1002.00
HOMICIDIOS,01/12/2021,1187.00
HOMICIDIOS,01/01/2022,1161.00
HOMICIDIOS,01/02/2022,1032.00
HOMICIDIOS,01/03/2022,1081.00
HOMICIDIOS,01/04/2022,1139.00
HOMICIDIOS,01/05/2022,1177.00
HOMICIDIOS,01/06/2022,1033.00
HOMICIDIOS,01/07/2022,1205.00
HOMICIDIOS,01/08/2022,1088.00
HOMICIDIOS,01/09/2022,1098.00
HOMICIDIOS,01/10/2022,1161.00
HOMICIDIOS,01/11/2022,1106.00
HOMICIDIOS,01/12/2022,1255.00
HOMICIDIOS,01/01/2023,1110.00
HOMICIDIOS,01/02/2023,977.00
HOMICIDIOS,01/03/2023,1083.00
HOMICIDIOS,01/04/2023,1045.00
